rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",133156,1,10,SAU,2024-07-11,6AI3ezQ4o3HUoP6Dhudph3
4,spotify:track:1kPhV0KQui1phEpjnWIqUN,"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco),BIGHIT MUSIC,102326,3,2,SAU,2024-07-11,1kPhV0KQui1phEpjnWIqUN
5,spotify:track:6XjDF6nds4DE2BBbagZol6,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,101989,5,14,SAU,2024-07-11,6XjDF6nds4DE2BBbagZol6
6,spotify:track:6vvPecFTmWxDfEJ6cYT1wa,LISA,Rockstar,Lloud Co./RCA Records,99081,5,2,SAU,2024-07-11,6vvPecFTmWxDfEJ6cYT1wa
7,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,98332,1,21,SAU,2024-07-11,3qhlB30KknSejmIvZZLjOD
8,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,Please Please Please,Island Records,88298,7,5,SAU,2024-07-11,5N3hjp1WNayUPZrA8kJmJP
9,spotify:track:3QAv960Xt2tyuRDiCRohJS,نور ريمكس,دمر الروح المسكينه ريمكس تيك توك,6692404 Records DK,86164,9,2,SAU,2024-07-11,3QAv960Xt2tyuRDiCRohJS
10,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,72394,1,52,SAU,2024-07-11,2HRgqmZQC0MC7GeNuDIXHN
11,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,71293,2,49,SAU,2024-07-11,7CyPwkp0oE8Ro9Dd5CUDjW
12,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,68446,1,68,SAU,2024-07-11,3Ua0m0YmEjrMi9XErKcNiR
13,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,67103,3,16,SAU,2024-07-11,3JG1uFc40wfyrqaWC7iv0e
14,spotify:track:0nOYzdwXVX4ATRYVENxOyb,Nasrat Al Badr,Haram Aliek,Chello,66231,13,97,SAU,2024-07-11,0nOYzdwXVX4ATRYVENxOyb
15,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,64758,7,194,SAU,2024-07-11,2QjOHCTQ1Jl3zawyYOpxh6
16,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,63764,6,44,SAU,2024-07-11,42VsgItocQwOQC3XWZ8JNA
17,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,62471,3,8,SAU,2024-07-11,7BRD7x5pt8Lqa1eGYC4dzj
18,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Apocalypse,Partisan Records,60112,13,138,SAU,2024-07-11,0yc6Gst2xkRu0eMLeRMGCX
19,spotify:track:5gp2YvvqRre1LO9iNsEogZ,Astknan Maghribi,مغربية طيارة,Solo Record,59469,19,21,SAU,2024-07-11,5gp2YvvqRre1LO9iNsEogZ
20,spotify:track:67smGwuPEtA6GAfeweAVNO,Eternxlkz,SLAY!,Eternxlkz,57866,8,16,SAU,2024-07-11,67smGwuPEtA6GAfeweAVNO
21,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,56797,4,110,SAU,2024-07-11,5XeFesFbtLpXzIVDNQP22n
22,spotify:track:7vOmSP2647oNUGGEhWd1cr,LXNGVX,Montagem Mysterious Game,LANGA,56132,11,28,SAU,2024-07-11,7vOmSP2647oNUGGEhWd1cr
23,spotify:track:2N0SPREDYqILVEFSsWF5N5,V,Love Me Again,BIGHIT MUSIC,55324,1,48,SAU,2024-07-11,2N0SPREDYqILVEFSsWF5N5
24,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,55038,6,10,SAU,2024-07-11,5AJ9hqTS2wcFQCELCFRO7A
25,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,54043,1,35,SAU,2024-07-11,2KslE17cAJNHTsI2MI0jb2
26,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,53625,3,18,SAU,2024-07-11,51ZQ1vr10ffzbwIjDCwqm4
27,spotify:track:629DixmZGHc7ILtEntuiWE,Billie Eilish,LUNCH,Darkroom/Interscope Records,52590,6,8,SAU,2024-07-11,629DixmZGHc7ILtEntuiWE
28,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,52074,28,45,SAU,2024-07-11,3hRV0jL3vUpRrcy398teAU
