rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
3,spotify:track:3LWVXp636uLT356Rj08Jaz,Jimin,Be Mine,BIGHIT MUSIC,372411,2,26,KOR,2025-01-16,3LWVXp636uLT356Rj08Jaz
4,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,314072,4,7,KOR,2025-01-16,7G7mSV4BebkoHWwKTDvXu9
5,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,279250,3,9,KOR,2025-01-16,50zAEIE4B1QqhPjRMK2Xmh
6,spotify:track:7Cnpb1vBbC46RgVyyKLH7p,aespa,Whiplash,aespa,269349,3,13,KOR,2025-01-16,7Cnpb1vBbC46RgVyyKLH7p
7,spotify:track:7GOIrZTegzVty8mhNhRuA0,BOYNEXTDOOR,"IF I SAY, I LOVE YOU",KOZ Entertainment,262732,7,2,KOR,2025-01-16,7GOIrZTegzVty8mhNhRuA0
8,spotify:track:1z5ebC9238uGoBgzYyvGpQ,ROSÉ,toxic till the end,Atlantic Records,252964,2,6,KOR,2025-01-16,1z5ebC9238uGoBgzYyvGpQ
9,spotify:track:1agDCV4zQqaFwJQNsTgmL1,"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco),BIGHIT MUSIC,242469,2,29,KOR,2025-01-16,1agDCV4zQqaFwJQNsTgmL1
10,spotify:track:0Cu8JdYvV9DdmzLzhxaZLH,"G-DRAGON, TAEYANG, DAESUNG",HOME SWEET HOME (feat. TAEYANG & DAESUNG),Galaxy Corporation / EMPIRE,234293,2,8,KOR,2025-01-16,0Cu8JdYvV9DdmzLzhxaZLH
11,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",229816,9,8,KOR,2025-01-16,2CGNAOSuO1MEFCbBRgUzjd
12,spotify:track:3d2bsbugow8JiNvuaRupFH,"Jimin, Sofia Carson",Slow Dance (feat. Sofia Carson),BIGHIT MUSIC,227669,6,26,KOR,2025-01-16,3d2bsbugow8JiNvuaRupFH
13,spotify:track:7gMfVc4zfNIxuMyMGglOHa,Jimin,Rebirth (Intro),BIGHIT MUSIC,223725,8,26,KOR,2025-01-16,7gMfVc4zfNIxuMyMGglOHa
14,spotify:track:6qafqn8bBMy7t5c5WqpyRk,Jimin,Closer Than This,BIGHIT MUSIC,220636,2,56,KOR,2025-01-16,6qafqn8bBMy7t5c5WqpyRk
15,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,219407,2,13,KOR,2025-01-16,4wJ5Qq0jBN4ajy7ouZIV1c
16,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,217323,12,22,KOR,2025-01-16,2plbrEY59IikOBgBGLjaoe
17,spotify:track:1MC8JLPV4fbvVBqvGSLoDf,Jimin,Who (Rock Remix),BIGHIT MUSIC,197308,13,26,KOR,2025-01-16,1MC8JLPV4fbvVBqvGSLoDf
18,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,196860,2,68,KOR,2025-01-16,01qFKNWq73UfEslI0GvumE
19,spotify:track:10I5rhhFoWZDIN3kEc6Dbo,Jimin,Who (Acoustic Remix),BIGHIT MUSIC,194550,12,26,KOR,2025-01-16,10I5rhhFoWZDIN3kEc6Dbo
20,spotify:track:45zLrK0668WQ5JFMyiYmCS,Jimin,Interlude : Showtime,BIGHIT MUSIC,193104,10,26,KOR,2025-01-16,45zLrK0668WQ5JFMyiYmCS
21,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,188361,4,62,KOR,2025-01-16,2KslE17cAJNHTsI2MI0jb2
22,spotify:track:1ySWoGgrduSzvtJ3PUzO41,Jimin,Who (Shibuyakei Remix),BIGHIT MUSIC,187575,15,26,KOR,2025-01-16,1ySWoGgrduSzvtJ3PUzO41
23,spotify:track:7KZNgri6Jxw88FAfATw6i9,Jimin,Who (Funky Remix),BIGHIT MUSIC,187245,17,26,KOR,2025-01-16,7KZNgri6Jxw88FAfATw6i9
24,spotify:track:2isRbZIIU4PqPrECffn7QO,Jimin,Who (Beautiful Mind Remix),BIGHIT MUSIC,185357,18,26,KOR,2025-01-16,2isRbZIIU4PqPrECffn7QO
25,spotify:track:1Px44tw80Q4rcCl8FxDGOi,Jimin,Who (Instrumental),BIGHIT MUSIC,184027,20,26,KOR,2025-01-16,1Px44tw80Q4rcCl8FxDGOi
26,spotify:track:1MUZitHRpmng5NevrvNx4T,BABYMONSTER,DRIP,YG Entertainment,180304,12,11,KOR,2025-01-16,1MUZitHRpmng5NevrvNx4T
27,spotify:track:2SR0alFA2oWYXSoePGTj0V,Jin,I’ll Be There,BIGHIT MUSIC,179432,7,12,KOR,2025-01-16,2SR0alFA2oWYXSoePGTj0V
28,spotify:track:6iu311jZAJFLPgoIWgrA72,BIGBANG,BANG BANG BANG,YG Entertainment,164973,28,9,KOR,2025-01-16,6iu311jZAJFLPgoIWgrA72
29,spotify:track:1k68vKHNQXU5CHqcM7Yp7N,DAY6,HAPPY,Republic Records - DAY6,158265,5,23,KOR,2025-01-16,1k68vKHNQXU5CHqcM7Yp7N
30,spotify:track:4EwNWRBWdZ6bgvxRHlZ8OO,G-DRAGON,CROOKED,YG Entertainment,149692,29,12,KOR,2025-01-16,4EwNWRBWdZ6bgvxRHlZ8OO
31,spotify:track:5FxasBmho2yEvgXrzp9MMW,G-DRAGON,"무제(無題) (Untitled, 2014)",YG Entertainment,139814,22,14,KOR,2025-01-16,5FxasBmho2yEvgXrzp9MMW
32,spotify:track:5ocSQW5sIUIOFojwXEz9Ki,NewJeans,Supernatural,ADOR,137673,2,30,KOR,2025-01-16,5ocSQW5sIUIOFojwXEz9Ki
33,spotify:track:1aKvZDoLGkNMxoRYgkckZG,ILLIT,Magnetic,BELIFT LAB,137450,1,43,KOR,2025-01-16,1aKvZDoLGkNMxoRYgkckZG
34,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,136849,1,95,KOR,2025-01-16,3Ua0m0YmEjrMi9XErKcNiR
35,spotify:track:4XsJiRJQAK8TWcZCn0Dxlh,G-DRAGON,POWER,Galaxy Corporation / EMPIRE,134317,4,12,KOR,2025-01-16,4XsJiRJQAK8TWcZCn0Dxlh
36,spotify:track:5sjnkOfTLCLNfkkchI2re2,aespa,UP - KARINA Solo,SM Entertainment,133034,5,15,KOR,2025-01-16,5sjnkOfTLCLNfkkchI2re2
