rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
28,spotify:track:2NcvQ8N9ugSMforAJT0A4Y,"Jungeli, Imen Es, Alonzo, Abou Debeing, Lossa",Petit génie,Universal Music Distributed Labels,998936,1,74,FRA,2025-01-02,2NcvQ8N9ugSMforAJT0A4Y,65,217259,True,pop urbaine,2024-11-06,https://i.scdn.co/image/ab67616d0000b2734762de169386b6bc2b8cbd4e,https://i.scdn.co/image/ab6761610000e5eb69ab4bafb7ad706f7e6e4957
29,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,957913,7,38,FRA,2025-01-02,2HRqTpkrJO5ggZyyK6NPWz,88,175459,True,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
30,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,948457,30,191,FRA,2025-01-02,22skzmqfdWrjJylampe0kt,83,258431,False,,2012-10-09,https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d,https://i.scdn.co/image/ab6761610000e5eb488b3b242f97163a7f8e17b9
31,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",934820,31,9,FRA,2025-01-02,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
32,spotify:track:2ynH9ETEo4OgLxNLJrcMKP,La Mano 1.9,I'M SORRY,R.A.T MUSIC,929136,15,14,FRA,2025-01-02,2ynH9ETEo4OgLxNLJrcMKP,69,152571,True,,2024-09-25,https://i.scdn.co/image/ab67616d0000b2731cdb019a5ba20446d828b700,https://i.scdn.co/image/ab6761610000e5ebdf92760aeefbade7a8026673
33,spotify:track:15vGti1ooNZFlDUdlLukX6,"Booba, SDM",Dolce Camara,Universal Music Distribution Deal,912300,2,47,FRA,2025-01-02,15vGti1ooNZFlDUdlLukX6,68,178401,True,pop urbaine,2024-02-08,https://i.scdn.co/image/ab67616d0000b27324b6493c8778514c3e275560,https://i.scdn.co/image/ab6761610000e5eb96b3ab10e89bad078d125c3a
34,spotify:track:3nHuKdFJZm78CoeBnDcFKe,Teddy Swims,Bad Dreams,Warner Records,912134,34,8,FRA,2025-01-02,3nHuKdFJZm78CoeBnDcFKe,86,184577,False,,2024-09-13,https://i.scdn.co/image/ab67616d0000b273de4b0388cb6e5267132a07bc,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
35,spotify:track:2KejCKgm7l3uefW9cFt8cH,"Kavinsky, Angèle, Phoenix",Nightcall,Universal Music Division Virgin Music Distribution Deal,901178,18,15,FRA,2025-01-02,2KejCKgm7l3uefW9cFt8cH,71,179306,False,synthwave,2024-09-20,https://i.scdn.co/image/ab67616d0000b27382e856e42426e69b8bb43461,https://i.scdn.co/image/ab6761610000e5eb2dc7b3180bad1885c6ee1320
36,spotify:track:4kmGM0IbzDPr2rT1nehI1r,AMK,Malya,Blood Brother's Records,894738,7,18,FRA,2025-01-02,4kmGM0IbzDPr2rT1nehI1r,69,192182,True,,2022-05-27,https://i.scdn.co/image/ab67616d0000b27358617a36795bced5e940f1d7,https://i.scdn.co/image/ab6761610000e5ebf977b07a82dad1c0da240c4b
37,spotify:track:2esZG2XFtuoWWA9AfDvSxy,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,871816,2,39,FRA,2025-01-02,2esZG2XFtuoWWA9AfDvSxy,77,222000,True,reggaeton chileno,2024-08-09,https://i.scdn.co/image/ab67616d0000b273200e2b6526846c59789c92e6,https://i.scdn.co/image/ab6761610000e5eba410f779bd969d6d1e4815a2
